1.000000000000000021e-02,9.986540985107421875e+01,9.968646240234375000e+01,9.992311096191406250e+01,9.978442382812500000e+01,3.740000000000000000e+02,1.800000000000000000e+02,9.968646168708801270e-01
6.040404040404041136e-02,9.986540222167968750e+01,9.961475372314453125e+01,9.992311096191406250e+01,9.977062988281250000e+01,3.660000000000000000e+02,1.640000000000000000e+02,9.961475133895874023e-01
1.108080808080808138e-01,9.986539459228515625e+01,9.957553100585937500e+01,9.992310333251953125e+01,9.975650024414062500e+01,3.510000000000000000e+02,1.710000000000000000e+02,9.957553148269653320e-01
1.612121212121212510e-01,9.986523437500000000e+01,9.952244567871093750e+01,9.992310333251953125e+01,9.974189758300781250e+01,3.500000000000000000e+02,1.610000000000000000e+02,9.952244758605957031e-01
2.116161616161616466e-01,9.986522674560546875e+01,9.946684265136718750e+01,9.992310333251953125e+01,9.968666839599609375e+01,3.270000000000000000e+02,1.550000000000000000e+02,9.946684241294860840e-01
2.620202020202020421e-01,9.986521911621093750e+01,9.940778350830078125e+01,9.992309570312500000e+01,9.967826080322265625e+01,3.150000000000000000e+02,1.470000000000000000e+02,9.940778613090515137e-01
3.124242424242424931e-01,9.986521148681640625e+01,9.935821533203125000e+01,9.992309570312500000e+01,9.965895080566406250e+01,3.070000000000000000e+02,1.480000000000000000e+02,9.935821294784545898e-01
3.628282828282828887e-01,9.986521148681640625e+01,9.931876373291015625e+01,9.992308807373046875e+01,9.966708374023437500e+01,2.840000000000000000e+02,1.310000000000000000e+02,9.931876659393310547e-01
4.132323232323232842e-01,9.986520385742187500e+01,9.926753234863281250e+01,9.992308807373046875e+01,9.962046813964843750e+01,2.720000000000000000e+02,1.330000000000000000e+02,9.926753044128417969e-01
4.636363636363636798e-01,9.986519622802734375e+01,9.920526123046875000e+01,9.992308044433593750e+01,9.960435485839843750e+01,2.640000000000000000e+02,1.320000000000000000e+02,9.920526146888732910e-01
