1.000000000000000000e+00,4.000000000000000000e+00,1.700000000000000000e+01
9.961538461538461675e-01,4.000000000000000000e+00,2.100000000000000000e+01
9.923076923076923350e-01,3.000000000000000000e+00,1.900000000000000000e+01
9.884615384615385025e-01,3.000000000000000000e+00,2.600000000000000000e+01
9.846153846153846700e-01,2.000000000000000000e+00,3.000000000000000000e+01
9.807692307692308376e-01,1.000000000000000000e+00,2.600000000000000000e+01
9.769230769230768940e-01,1.000000000000000000e+00,3.300000000000000000e+01
9.730769230769230616e-01,4.000000000000000000e+00,3.800000000000000000e+01
9.692307692307692291e-01,6.000000000000000000e+00,4.500000000000000000e+01
9.653846153846153966e-01,1.200000000000000000e+01,3.200000000000000000e+01
9.615384615384615641e-01,1.300000000000000000e+01,2.900000000000000000e+01
9.576923076923077316e-01,1.500000000000000000e+01,3.600000000000000000e+01
9.538461538461537881e-01,2.400000000000000000e+01,2.700000000000000000e+01
9.499999999999999556e-01,2.600000000000000000e+01,1.900000000000000000e+01
9.461538461538461231e-01,3.000000000000000000e+01,1.700000000000000000e+01
9.423076923076922906e-01,3.000000000000000000e+01,1.700000000000000000e+01
9.384615384615384581e-01,2.600000000000000000e+01,1.600000000000000000e+01
9.346153846153846256e-01,2.800000000000000000e+01,1.200000000000000000e+01
9.307692307692307931e-01,3.200000000000000000e+01,7.000000000000000000e+00
9.269230769230769607e-01,2.700000000000000000e+01,9.000000000000000000e+00
9.230769230769231282e-01,2.800000000000000000e+01,6.000000000000000000e+00
9.192307692307691847e-01,2.600000000000000000e+01,5.000000000000000000e+00
9.153846153846153522e-01,2.500000000000000000e+01,5.000000000000000000e+00
9.115384615384615197e-01,2.400000000000000000e+01,8.000000000000000000e+00
9.076923076923076872e-01,2.000000000000000000e+01,3.000000000000000000e+00
9.038461538461538547e-01,1.200000000000000000e+01,3.000000000000000000e+00
9.000000000000000222e-01,1.000000000000000000e+01,4.000000000000000000e+00
8.961538461538461897e-01,6.000000000000000000e+00,2.000000000000000000e+00
8.923076923076922462e-01,6.000000000000000000e+00,1.000000000000000000e+00
8.884615384615384137e-01,6.000000000000000000e+00,2.000000000000000000e+00
8.846153846153845812e-01,2.000000000000000000e+00,3.000000000000000000e+00
8.807692307692307487e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.769230769230769162e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.730769230769230838e-01,0.000000000000000000e+00,5.000000000000000000e+00
8.692307692307692513e-01,0.000000000000000000e+00,3.000000000000000000e+00
8.653846153846154188e-01,0.000000000000000000e+00,1.000000000000000000e+00
8.615384615384614753e-01,0.000000000000000000e+00,4.000000000000000000e+00
8.576923076923076428e-01,0.000000000000000000e+00,2.000000000000000000e+00
8.538461538461538103e-01,0.000000000000000000e+00,3.000000000000000000e+00
8.499999999999999778e-01,0.000000000000000000e+00,2.000000000000000000e+00
