1.000000000000000021e-03,9.995735931396484375e+01,9.976282501220703125e+01,9.995440673828125000e+01,9.977298736572265625e+01,1.050000000000000000e+02,1.310000000000000000e+02,9.976282715797424316e-01,0.000000000000000000e+00
3.855897435897436276e-01,9.995735931396484375e+01,9.754937744140625000e+01,9.995440673828125000e+01,9.710792541503906250e+01,3.000000000000000000e+00,1.600000000000000000e+01,9.754937887191772461e-01,0.000000000000000000e+00
7.701794871794872543e-01,9.995735931396484375e+01,9.514346313476562500e+01,9.995440673828125000e+01,9.001044464111328125e+01,2.000000000000000000e+00,8.000000000000000000e+00,9.514346122741699219e-01,0.000000000000000000e+00
1.154769230769230770e+00,9.995735931396484375e+01,9.266979980468750000e+01,9.995440673828125000e+01,8.220484161376953125e+01,2.000000000000000000e+00,4.000000000000000000e+00,9.266979694366455078e-01,0.000000000000000000e+00
1.539358974358974397e+00,9.995735931396484375e+01,9.108232879638671875e+01,9.995440673828125000e+01,6.708500671386718750e+01,2.000000000000000000e+00,4.000000000000000000e+00,9.108232855796813965e-01,0.000000000000000000e+00
1.923948717948718024e+00,9.995735931396484375e+01,8.780506134033203125e+01,9.995440673828125000e+01,5.617517089843750000e+01,0.000000000000000000e+00,1.000000000000000000e+00,8.780506253242492676e-01,0.000000000000000000e+00
2.308538461538461650e+00,9.995735931396484375e+01,8.588543701171875000e+01,9.995440673828125000e+01,5.185205459594726562e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.588543534278869629e-01,0.000000000000000000e+00
2.693128205128205277e+00,9.995735931396484375e+01,8.333217620849609375e+01,9.995440673828125000e+01,4.588608551025390625e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.333217501640319824e-01,0.000000000000000000e+00
3.077717948717948904e+00,9.995735931396484375e+01,8.073452758789062500e+01,9.995440673828125000e+01,3.849517822265625000e+01,0.000000000000000000e+00,1.000000000000000000e+00,8.073452711105346680e-01,0.000000000000000000e+00
3.462307692307692530e+00,9.995735931396484375e+01,7.591169738769531250e+01,9.995440673828125000e+01,3.296595382690429688e+01,0.000000000000000000e+00,1.000000000000000000e+00,7.591169476509094238e-01,0.000000000000000000e+00
3.846897435897436157e+00,9.995735931396484375e+01,7.276985931396484375e+01,9.995440673828125000e+01,2.934855461120605469e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.276985645294189453e-01,0.000000000000000000e+00
4.231487179487180228e+00,9.995735931396484375e+01,6.936580657958984375e+01,9.995440673828125000e+01,2.455672836303710938e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.936580538749694824e-01,0.000000000000000000e+00
4.616076923076923855e+00,9.995735931396484375e+01,6.584744262695312500e+01,9.995440673828125000e+01,2.505846595764160156e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.584744453430175781e-01,0.000000000000000000e+00
5.000666666666667481e+00,9.995735931396484375e+01,6.129850006103515625e+01,9.995440673828125000e+01,2.341667556762695312e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.129850149154663086e-01,0.000000000000000000e+00
5.385256410256411108e+00,9.995735931396484375e+01,5.673696136474609375e+01,9.995440673828125000e+01,1.906442451477050781e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.673696398735046387e-01,0.000000000000000000e+00
5.769846153846154735e+00,9.995735931396484375e+01,4.858977127075195312e+01,9.995440673828125000e+01,1.924407958984375000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.858977198600769043e-01,0.000000000000000000e+00
6.154435897435898362e+00,9.995735931396484375e+01,4.616804504394531250e+01,9.995440673828125000e+01,1.622980880737304688e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.616804420948028564e-01,0.000000000000000000e+00
6.539025641025641988e+00,9.995735931396484375e+01,4.040048599243164062e+01,9.995440673828125000e+01,1.700273704528808594e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.040048718452453613e-01,0.000000000000000000e+00
6.923615384615385615e+00,9.995735931396484375e+01,3.189452171325683594e+01,9.995440673828125000e+01,1.070203018188476562e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.189452290534973145e-01,0.000000000000000000e+00
7.308205128205129242e+00,9.995735931396484375e+01,3.381964874267578125e+01,9.995440673828125000e+01,1.513770866394042969e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.381964862346649170e-01,0.000000000000000000e+00
7.692794871794872869e+00,9.995735931396484375e+01,nan,9.995440673828125000e+01,1.256434631347656250e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.077384615384614719e+00,9.995735931396484375e+01,nan,9.995440673828125000e+01,1.508846759796142578e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.461974358974359234e+00,9.995735931396484375e+01,nan,9.995440673828125000e+01,1.240538311004638672e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.846564102564103749e+00,9.995735931396484375e+01,nan,9.995440673828125000e+01,1.071113681793212891e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.231153846153846487e+00,9.995735931396484375e+01,nan,9.995440673828125000e+01,5.885544776916503906e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.615743589743589226e+00,9.995735931396484375e+01,nan,9.995440673828125000e+01,1.113875579833984375e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000033333333333374e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,1.122742462158203125e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.038492307692307826e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,7.646221637725830078e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.076951282051282099e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,7.528235435485839844e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.115410256410256373e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,2.712468528747558594e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.153869230769230825e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,5.540700912475585938e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.192328205128205276e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,1.817570114135742188e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.230787179487179550e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.269246153846153824e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,1.442762374877929688e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.307705128205128275e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.346164102564102727e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.384623076923077001e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.423082051282051275e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.461541025641025726e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,9.995735931396484375e+01,nan,9.995440673828125000e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
