0.000000000000000000e+00,1.000000000000000048e-04,1.550878906250000000e+02,1.549868927001953125e+02
0.000000000000000000e+00,4.091428571428571553e-02,1.550878906250000000e+02,1.549747467041015625e+02
0.000000000000000000e+00,8.172857142857142820e-02,1.550878906250000000e+02,1.549485168457031250e+02
0.000000000000000000e+00,1.225428571428571339e-01,1.550878906250000000e+02,1.549335021972656250e+02
0.000000000000000000e+00,1.633571428571428397e-01,1.550878601074218750e+02,1.549179382324218750e+02
0.000000000000000000e+00,2.041714285714285593e-01,1.550878601074218750e+02,1.549021759033203125e+02
0.000000000000000000e+00,2.449857142857142511e-01,1.550878601074218750e+02,1.548860931396484375e+02
0.000000000000000000e+00,2.857999999999999985e-01,1.550878601074218750e+02,1.548680877685546875e+02
0.000000000000000000e+00,3.266142857142856903e-01,1.550878601074218750e+02,1.548513488769531250e+02
0.000000000000000000e+00,3.674285714285713822e-01,1.550878601074218750e+02,1.548333587646484375e+02
0.000000000000000000e+00,4.082428571428571296e-01,1.550878601074218750e+02,1.548133087158203125e+02
0.000000000000000000e+00,4.490571428571428214e-01,1.550878601074218750e+02,1.547962799072265625e+02
0.000000000000000000e+00,4.898714285714285133e-01,1.550878448486328125e+02,1.547797088623046875e+02
0.000000000000000000e+00,5.306857142857142051e-01,1.550878448486328125e+02,1.547566986083984375e+02
0.000000000000000000e+00,5.715000000000000080e-01,1.550878143310546875e+02,1.547406921386718750e+02
0.000000000000000000e+00,6.123142857142856998e-01,1.550878143310546875e+02,1.547246093750000000e+02
0.000000000000000000e+00,6.531285714285713917e-01,1.550878143310546875e+02,1.546932678222656250e+02
0.000000000000000000e+00,6.939428571428570836e-01,1.550878143310546875e+02,1.546762847900390625e+02
0.000000000000000000e+00,7.347571428571427754e-01,1.550878143310546875e+02,1.546581573486328125e+02
0.000000000000000000e+00,7.755714285714285783e-01,1.550878143310546875e+02,1.546409912109375000e+02
0.000000000000000000e+00,8.163857142857142701e-01,1.550878143310546875e+02,1.546226654052734375e+02
0.000000000000000000e+00,8.571999999999999620e-01,1.550878143310546875e+02,1.546079406738281250e+02
