5.000000000000000000e+00,1.659979057312011719e+01,2.611293601989746094e+01,7.000000000000000000e+00,9.527770233154296875e+01,1.252868890762329102e+00,2.931814789772033691e-01
7.040816326530611846e+00,1.542193031311035156e+01,2.177095985412597656e+01,1.100000000000000000e+01,9.553234100341796875e+01,1.135150909423828125e+00,3.855570852756500244e-01
9.081632653061223692e+00,1.803294181823730469e+01,1.970389747619628906e+01,1.600000000000000000e+01,9.546345520019531250e+01,1.003974914550781250e+00,3.608999252319335938e-01
1.112244897959183731e+01,1.940833854675292969e+01,1.877906799316406250e+01,1.900000000000000000e+01,9.552115631103515625e+01,9.372944831848144531e-01,3.279486596584320068e-01
1.316326530612244916e+01,2.068764305114746094e+01,1.885995674133300781e+01,2.500000000000000000e+01,9.551544952392578125e+01,8.312910795211791992e-01,3.454455137252807617e-01
1.520408163265306101e+01,1.888280487060546875e+01,1.868124771118164062e+01,3.200000000000000000e+01,9.550993347167968750e+01,7.584473490715026855e-01,3.376670181751251221e-01
1.724489795918367463e+01,1.911896324157714844e+01,1.865921592712402344e+01,3.700000000000000000e+01,9.545840454101562500e+01,7.305151224136352539e-01,3.259911239147186279e-01
1.928571428571428470e+01,1.969703865051269531e+01,1.842511558532714844e+01,4.400000000000000000e+01,9.547709655761718750e+01,8.033296465873718262e-01,3.552295267581939697e-01
2.132653061224489832e+01,1.975480842590332031e+01,1.820292663574218750e+01,4.800000000000000000e+01,9.546732330322265625e+01,7.829433679580688477e-01,3.560335338115692139e-01
2.336734693877551194e+01,1.927487373352050781e+01,1.769801139831542969e+01,5.100000000000000000e+01,9.543430328369140625e+01,7.862261533737182617e-01,3.656290471553802490e-01
2.540816326530612201e+01,2.013055610656738281e+01,1.834056091308593750e+01,5.800000000000000000e+01,9.550608062744140625e+01,9.502511024475097656e-01,3.816703259944915771e-01
2.744897959183673564e+01,2.018772506713867188e+01,1.878335952758789062e+01,6.300000000000000000e+01,9.547844696044921875e+01,9.333596825599670410e-01,4.069122374057769775e-01
2.948979591836734926e+01,2.019590187072753906e+01,1.850518798828125000e+01,6.600000000000000000e+01,9.546975708007812500e+01,9.184142351150512695e-01,4.566824436187744141e-01
3.153061224489795933e+01,2.068994331359863281e+01,1.861267089843750000e+01,6.900000000000000000e+01,9.549028778076171875e+01,9.626947641372680664e-01,4.756514132022857666e-01
3.357142857142856940e+01,2.018978881835937500e+01,1.912710762023925781e+01,7.400000000000000000e+01,9.548212432861328125e+01,9.495482444763183594e-01,4.743643403053283691e-01
3.561224489795918657e+01,1.998911094665527344e+01,1.872623252868652344e+01,7.800000000000000000e+01,9.546165466308593750e+01,9.611954092979431152e-01,4.854121804237365723e-01
3.765306122448979664e+01,2.020287704467773438e+01,1.879035377502441406e+01,8.000000000000000000e+01,9.548994445800781250e+01,1.001841902732849121e+00,4.884951710700988770e-01
3.969387755102040671e+01,2.040174865722656250e+01,1.919966697692871094e+01,8.400000000000000000e+01,9.551303100585937500e+01,1.029131770133972168e+00,4.937761127948760986e-01
4.173469387755102389e+01,2.051380538940429688e+01,1.937215995788574219e+01,8.900000000000000000e+01,9.550728607177734375e+01,1.035214781761169434e+00,4.979870319366455078e-01
4.377551020408163396e+01,2.039989280700683594e+01,1.933365440368652344e+01,9.000000000000000000e+01,9.552780151367187500e+01,1.047472119331359863e+00,5.189478993415832520e-01
4.581632653061224403e+01,2.040131378173828125e+01,1.940555000305175781e+01,9.500000000000000000e+01,9.550997161865234375e+01,1.032832026481628418e+00,5.115082263946533203e-01
4.785714285714286120e+01,2.012386512756347656e+01,1.937258720397949219e+01,9.800000000000000000e+01,9.549740600585937500e+01,1.019915819168090820e+00,5.283682346343994141e-01
4.989795918367347127e+01,2.018552017211914062e+01,1.938520431518554688e+01,1.000000000000000000e+02,9.551477813720703125e+01,1.020664691925048828e+00,5.431036353111267090e-01
5.193877551020408134e+01,2.006980133056640625e+01,1.887725067138671875e+01,1.070000000000000000e+02,9.546381378173828125e+01,1.048889398574829102e+00,5.621280670166015625e-01
5.397959183673469852e+01,2.007225418090820312e+01,1.902850341796875000e+01,1.130000000000000000e+02,9.549660491943359375e+01,1.061659574508666992e+00,5.960515141487121582e-01
5.602040816326530859e+01,1.992872428894042969e+01,1.890427970886230469e+01,1.160000000000000000e+02,9.547550201416015625e+01,1.060174584388732910e+00,6.045749187469482422e-01
5.806122448979591866e+01,1.982435989379882812e+01,1.894074630737304688e+01,1.210000000000000000e+02,9.544950103759765625e+01,1.060389757156372070e+00,6.200165152549743652e-01
6.010204081632652873e+01,1.973476219177246094e+01,1.871400260925292969e+01,1.240000000000000000e+02,9.543558502197265625e+01,1.066894531250000000e+00,6.467888355255126953e-01
6.214285714285714590e+01,1.945749855041503906e+01,1.869248771667480469e+01,1.280000000000000000e+02,9.544500732421875000e+01,1.077252507209777832e+00,6.641891598701477051e-01
6.418367346938775597e+01,1.983507347106933594e+01,1.873953437805175781e+01,1.330000000000000000e+02,9.548008728027343750e+01,1.148132443428039551e+00,6.909555196762084961e-01
6.622448979591837315e+01,1.974838638305664062e+01,1.868439865112304688e+01,1.350000000000000000e+02,9.549936676025390625e+01,1.151556134223937988e+00,7.238143682479858398e-01
6.826530612244897611e+01,1.980218887329101562e+01,1.877922248840332031e+01,1.400000000000000000e+02,9.550382232666015625e+01,1.148564696311950684e+00,7.341162562370300293e-01
7.030612244897959329e+01,1.985422706604003906e+01,1.860882949829101562e+01,1.440000000000000000e+02,9.548242187500000000e+01,1.147642612457275391e+00,7.568061351776123047e-01
7.234693877551021046e+01,1.979503440856933594e+01,1.854762268066406250e+01,1.450000000000000000e+02,9.549426269531250000e+01,1.152462601661682129e+00,7.693974971771240234e-01
7.438775510204081343e+01,1.960026741027832031e+01,1.874662780761718750e+01,1.510000000000000000e+02,9.548861694335937500e+01,1.178773403167724609e+00,7.972359061241149902e-01
7.642857142857143060e+01,1.948584365844726562e+01,1.872139167785644531e+01,1.530000000000000000e+02,9.547540283203125000e+01,1.185198664665222168e+00,8.030422925949096680e-01
7.846938775510204778e+01,1.953775787353515625e+01,1.878796386718750000e+01,1.570000000000000000e+02,9.547851562500000000e+01,1.182226061820983887e+00,8.292235136032104492e-01
