0.000000000000000000e+00,1.000000000000000021e-03,9.963666200637817383e-01,2.110000000000000000e+02,2.110000000000000000e+02
0.000000000000000000e+00,1.131034482758620785e-02,9.956181645393371582e-01,1.810000000000000000e+02,1.810000000000000000e+02
0.000000000000000000e+00,2.162068965517241481e-02,9.950278401374816895e-01,1.490000000000000000e+02,1.490000000000000000e+02
0.000000000000000000e+00,3.193103448275862177e-02,9.943833947181701660e-01,1.170000000000000000e+02,1.170000000000000000e+02
0.000000000000000000e+00,4.224137931034482873e-02,9.937527775764465332e-01,1.020000000000000000e+02,1.020000000000000000e+02
0.000000000000000000e+00,5.255172413793103570e-02,9.931265115737915039e-01,9.200000000000000000e+01,9.200000000000000000e+01
0.000000000000000000e+00,6.286206896551724266e-02,9.925106167793273926e-01,8.500000000000000000e+01,8.500000000000000000e+01
0.000000000000000000e+00,7.317241379310344962e-02,9.918423891067504883e-01,8.200000000000000000e+01,8.200000000000000000e+01
0.000000000000000000e+00,8.348275862068965658e-02,9.912033677101135254e-01,7.600000000000000000e+01,7.600000000000000000e+01
0.000000000000000000e+00,9.379310344827586354e-02,9.905660152435302734e-01,6.500000000000000000e+01,6.500000000000000000e+01
0.000000000000000000e+00,1.041034482758620705e-01,9.899377226829528809e-01,5.800000000000000000e+01,5.800000000000000000e+01
0.000000000000000000e+00,1.144137931034482775e-01,9.893133044242858887e-01,6.000000000000000000e+01,6.000000000000000000e+01
0.000000000000000000e+00,1.247241379310344844e-01,9.886814951896667480e-01,5.700000000000000000e+01,5.700000000000000000e+01
0.000000000000000000e+00,1.350344827586206775e-01,9.880341887474060059e-01,5.300000000000000000e+01,5.300000000000000000e+01
0.000000000000000000e+00,1.453448275862068984e-01,9.873688817024230957e-01,4.500000000000000000e+01,4.500000000000000000e+01
0.000000000000000000e+00,1.556551724137931192e-01,9.866732358932495117e-01,4.200000000000000000e+01,4.200000000000000000e+01
0.000000000000000000e+00,1.659655172413793123e-01,9.859818816184997559e-01,3.500000000000000000e+01,3.500000000000000000e+01
0.000000000000000000e+00,1.762758620689655054e-01,9.853507280349731445e-01,3.500000000000000000e+01,3.500000000000000000e+01
0.000000000000000000e+00,1.865862068965517262e-01,9.847394824028015137e-01,3.200000000000000000e+01,3.200000000000000000e+01
0.000000000000000000e+00,1.968965517241379470e-01,9.840938448905944824e-01,2.800000000000000000e+01,2.800000000000000000e+01
0.000000000000000000e+00,2.072068965517241401e-01,9.834495186805725098e-01,2.700000000000000000e+01,2.700000000000000000e+01
0.000000000000000000e+00,2.175172413793103332e-01,9.827789068222045898e-01,2.700000000000000000e+01,2.700000000000000000e+01
0.000000000000000000e+00,2.278275862068965540e-01,9.821295738220214844e-01,2.500000000000000000e+01,2.500000000000000000e+01
0.000000000000000000e+00,2.381379310344827749e-01,9.814435839653015137e-01,2.600000000000000000e+01,2.600000000000000000e+01
0.000000000000000000e+00,2.484482758620689680e-01,9.808124303817749023e-01,2.600000000000000000e+01,2.600000000000000000e+01
0.000000000000000000e+00,2.587586206896551611e-01,9.801415801048278809e-01,2.500000000000000000e+01,2.500000000000000000e+01
0.000000000000000000e+00,2.690689655172413541e-01,9.793971776962280273e-01,1.900000000000000000e+01,1.900000000000000000e+01
0.000000000000000000e+00,2.793793103448276027e-01,9.787223339080810547e-01,1.700000000000000000e+01,1.700000000000000000e+01
0.000000000000000000e+00,2.896896551724137958e-01,9.780488610267639160e-01,1.700000000000000000e+01,1.700000000000000000e+01
0.000000000000000000e+00,2.999999999999999889e-01,9.773759245872497559e-01,1.600000000000000000e+01,1.600000000000000000e+01
1.000000000000000000e+00,1.000000000000000021e-03,9.963091611862182617e-01,2.050000000000000000e+02,2.050000000000000000e+02
1.000000000000000000e+00,1.131034482758620785e-02,9.959343671798706055e-01,1.950000000000000000e+02,1.950000000000000000e+02
1.000000000000000000e+00,2.162068965517241481e-02,9.955378174781799316e-01,1.820000000000000000e+02,1.820000000000000000e+02
1.000000000000000000e+00,3.193103448275862177e-02,9.951835274696350098e-01,1.730000000000000000e+02,1.730000000000000000e+02
1.000000000000000000e+00,4.224137931034482873e-02,9.947945475578308105e-01,1.600000000000000000e+02,1.600000000000000000e+02
1.000000000000000000e+00,5.255172413793103570e-02,9.944307804107666016e-01,1.430000000000000000e+02,1.430000000000000000e+02
1.000000000000000000e+00,6.286206896551724266e-02,9.940711259841918945e-01,1.300000000000000000e+02,1.300000000000000000e+02
1.000000000000000000e+00,7.317241379310344962e-02,9.936844706535339355e-01,1.190000000000000000e+02,1.190000000000000000e+02
1.000000000000000000e+00,8.348275862068965658e-02,9.933252930641174316e-01,1.190000000000000000e+02,1.190000000000000000e+02
1.000000000000000000e+00,9.379310344827586354e-02,9.929609298706054688e-01,1.130000000000000000e+02,1.130000000000000000e+02
1.000000000000000000e+00,1.041034482758620705e-01,9.925958514213562012e-01,1.110000000000000000e+02,1.110000000000000000e+02
1.000000000000000000e+00,1.144137931034482775e-01,9.922225475311279297e-01,9.700000000000000000e+01,9.700000000000000000e+01
1.000000000000000000e+00,1.247241379310344844e-01,9.918869137763977051e-01,9.700000000000000000e+01,9.700000000000000000e+01
1.000000000000000000e+00,1.350344827586206775e-01,9.915217161178588867e-01,9.100000000000000000e+01,9.100000000000000000e+01
1.000000000000000000e+00,1.453448275862068984e-01,9.911673069000244141e-01,8.600000000000000000e+01,8.600000000000000000e+01
1.000000000000000000e+00,1.556551724137931192e-01,9.907844662666320801e-01,8.100000000000000000e+01,8.100000000000000000e+01
1.000000000000000000e+00,1.659655172413793123e-01,9.904094934463500977e-01,8.200000000000000000e+01,8.200000000000000000e+01
1.000000000000000000e+00,1.762758620689655054e-01,9.900629520416259766e-01,7.700000000000000000e+01,7.700000000000000000e+01
1.000000000000000000e+00,1.865862068965517262e-01,9.897086620330810547e-01,7.400000000000000000e+01,7.400000000000000000e+01
1.000000000000000000e+00,1.968965517241379470e-01,9.893323183059692383e-01,7.100000000000000000e+01,7.100000000000000000e+01
1.000000000000000000e+00,2.072068965517241401e-01,9.889635443687438965e-01,7.000000000000000000e+01,7.000000000000000000e+01
1.000000000000000000e+00,2.175172413793103332e-01,9.885867238044738770e-01,7.000000000000000000e+01,7.000000000000000000e+01
1.000000000000000000e+00,2.278275862068965540e-01,9.882089495658874512e-01,6.700000000000000000e+01,6.700000000000000000e+01
1.000000000000000000e+00,2.381379310344827749e-01,9.878248572349548340e-01,6.500000000000000000e+01,6.500000000000000000e+01
1.000000000000000000e+00,2.484482758620689680e-01,9.874677062034606934e-01,6.200000000000000000e+01,6.200000000000000000e+01
1.000000000000000000e+00,2.587586206896551611e-01,9.870757460594177246e-01,5.800000000000000000e+01,5.800000000000000000e+01
1.000000000000000000e+00,2.690689655172413541e-01,9.866541624069213867e-01,5.700000000000000000e+01,5.700000000000000000e+01
1.000000000000000000e+00,2.793793103448276027e-01,9.862970709800720215e-01,5.300000000000000000e+01,5.300000000000000000e+01
1.000000000000000000e+00,2.896896551724137958e-01,9.859423637390136719e-01,5.900000000000000000e+01,5.900000000000000000e+01
1.000000000000000000e+00,2.999999999999999889e-01,9.856031537055969238e-01,5.000000000000000000e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000021e-03,9.963161349296569824e-01,2.060000000000000000e+02,2.060000000000000000e+02
2.000000000000000000e+00,1.131034482758620785e-02,9.959973692893981934e-01,2.090000000000000000e+02,2.090000000000000000e+02
2.000000000000000000e+00,2.162068965517241481e-02,9.956092834472656250e-01,1.970000000000000000e+02,1.970000000000000000e+02
2.000000000000000000e+00,3.193103448275862177e-02,9.952907562255859375e-01,1.820000000000000000e+02,1.820000000000000000e+02
2.000000000000000000e+00,4.224137931034482873e-02,9.949482083320617676e-01,1.790000000000000000e+02,1.790000000000000000e+02
2.000000000000000000e+00,5.255172413793103570e-02,9.946123361587524414e-01,1.730000000000000000e+02,1.730000000000000000e+02
2.000000000000000000e+00,6.286206896551724266e-02,9.942880272865295410e-01,1.570000000000000000e+02,1.570000000000000000e+02
2.000000000000000000e+00,7.317241379310344962e-02,9.939416646957397461e-01,1.520000000000000000e+02,1.520000000000000000e+02
2.000000000000000000e+00,8.348275862068965658e-02,9.936133027076721191e-01,1.410000000000000000e+02,1.410000000000000000e+02
2.000000000000000000e+00,9.379310344827586354e-02,9.933050870895385742e-01,1.410000000000000000e+02,1.410000000000000000e+02
2.000000000000000000e+00,1.041034482758620705e-01,9.929862618446350098e-01,1.300000000000000000e+02,1.300000000000000000e+02
2.000000000000000000e+00,1.144137931034482775e-01,9.926598668098449707e-01,1.330000000000000000e+02,1.330000000000000000e+02
2.000000000000000000e+00,1.247241379310344844e-01,9.923306107521057129e-01,1.320000000000000000e+02,1.320000000000000000e+02
2.000000000000000000e+00,1.350344827586206775e-01,9.920044541358947754e-01,1.250000000000000000e+02,1.250000000000000000e+02
2.000000000000000000e+00,1.453448275862068984e-01,9.916888475418090820e-01,1.180000000000000000e+02,1.180000000000000000e+02
2.000000000000000000e+00,1.556551724137931192e-01,9.913461804389953613e-01,1.160000000000000000e+02,1.160000000000000000e+02
2.000000000000000000e+00,1.659655172413793123e-01,9.910107851028442383e-01,1.080000000000000000e+02,1.080000000000000000e+02
2.000000000000000000e+00,1.762758620689655054e-01,9.906955957412719727e-01,1.080000000000000000e+02,1.080000000000000000e+02
2.000000000000000000e+00,1.865862068965517262e-01,9.903904199600219727e-01,1.060000000000000000e+02,1.060000000000000000e+02
2.000000000000000000e+00,1.968965517241379470e-01,9.900537729263305664e-01,9.500000000000000000e+01,9.500000000000000000e+01
2.000000000000000000e+00,2.072068965517241401e-01,9.897342324256896973e-01,9.500000000000000000e+01,9.500000000000000000e+01
2.000000000000000000e+00,2.175172413793103332e-01,9.893938899040222168e-01,9.100000000000000000e+01,9.100000000000000000e+01
2.000000000000000000e+00,2.278275862068965540e-01,9.890754818916320801e-01,8.800000000000000000e+01,8.800000000000000000e+01
2.000000000000000000e+00,2.381379310344827749e-01,9.887165427207946777e-01,8.400000000000000000e+01,8.400000000000000000e+01
2.000000000000000000e+00,2.484482758620689680e-01,9.883900880813598633e-01,8.600000000000000000e+01,8.600000000000000000e+01
2.000000000000000000e+00,2.587586206896551611e-01,9.880630970001220703e-01,8.300000000000000000e+01,8.300000000000000000e+01
2.000000000000000000e+00,2.690689655172413541e-01,9.877083897590637207e-01,8.300000000000000000e+01,8.300000000000000000e+01
2.000000000000000000e+00,2.793793103448276027e-01,9.873785972595214844e-01,8.200000000000000000e+01,8.200000000000000000e+01
2.000000000000000000e+00,2.896896551724137958e-01,9.870314598083496094e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.000000000000000000e+00,2.999999999999999889e-01,9.867081046104431152e-01,6.700000000000000000e+01,6.700000000000000000e+01
