1.000000000000000021e-02,9.978253173828125000e+01,9.959641265869140625e+01,9.979889678955078125e+01,9.971732330322265625e+01,2.040000000000000000e+02,8.700000000000000000e+01,9.959641098976135254e-01
3.020408163265306256e-02,9.978253173828125000e+01,9.958891296386718750e+01,9.979889678955078125e+01,9.971094512939453125e+01,2.060000000000000000e+02,8.100000000000000000e+01,9.958891272544860840e-01
5.040816326530612318e-02,9.978252410888671875e+01,9.956005096435546875e+01,9.979889678955078125e+01,9.966488647460937500e+01,2.010000000000000000e+02,8.500000000000000000e+01,9.956005215644836426e-01
7.061224489795918380e-02,9.978252410888671875e+01,9.952490234375000000e+01,9.979888916015625000e+01,9.967315673828125000e+01,1.950000000000000000e+02,8.800000000000000000e+01,9.952490329742431641e-01
9.081632653061223748e-02,9.978252410888671875e+01,9.950043487548828125e+01,9.979888916015625000e+01,9.968841552734375000e+01,1.960000000000000000e+02,8.500000000000000000e+01,9.950043559074401855e-01
1.110204081632652912e-01,9.978252410888671875e+01,9.947576141357421875e+01,9.979888153076171875e+01,9.966030120849609375e+01,2.010000000000000000e+02,8.200000000000000000e+01,9.947575926780700684e-01
1.312244897959183587e-01,9.978251647949218750e+01,9.947577667236328125e+01,9.979865264892578125e+01,9.967513275146484375e+01,1.980000000000000000e+02,7.800000000000000000e+01,9.947577714920043945e-01
1.514285714285714401e-01,9.978251647949218750e+01,9.944764709472656250e+01,9.979864501953125000e+01,9.964686584472656250e+01,1.850000000000000000e+02,8.800000000000000000e+01,9.944764971733093262e-01
1.716326530612244938e-01,9.978251647949218750e+01,9.943104553222656250e+01,9.979864501953125000e+01,9.964002990722656250e+01,1.850000000000000000e+02,7.600000000000000000e+01,9.943104386329650879e-01
1.918367346938775475e-01,9.978251647949218750e+01,9.940528869628906250e+01,9.979864501953125000e+01,9.964626312255859375e+01,1.820000000000000000e+02,8.000000000000000000e+01,9.940528869628906250e-01
2.120408163265306012e-01,9.978250885009765625e+01,9.938722991943359375e+01,9.979863739013671875e+01,9.962865447998046875e+01,1.780000000000000000e+02,8.000000000000000000e+01,9.938722848892211914e-01
2.322448979591836826e-01,9.978250885009765625e+01,9.935687255859375000e+01,9.979863739013671875e+01,9.962296295166015625e+01,1.730000000000000000e+02,6.800000000000000000e+01,9.935687184333801270e-01
2.524489795918367085e-01,9.978239440917968750e+01,9.931808471679687500e+01,9.979862976074218750e+01,9.960939025878906250e+01,1.760000000000000000e+02,8.100000000000000000e+01,9.931808710098266602e-01
