1.000000000000000000e+02,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.732804107666015625e+01,9.610201835632324219e+00,9.394814372062683105e-01,5.779588699340820312e+01,8.353600502014160156e+00,2.102331161499023438e+00
9.898936170212766683e+01,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.669728469848632812e+01,9.637580871582031250e+00,9.292620420455932617e-01,5.675644302368164062e+01,8.365789413452148438e+00,2.110274553298950195e+00
9.797872340425531945e+01,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.605968093872070312e+01,9.538249015808105469e+00,9.177715182304382324e-01,5.614805603027343750e+01,8.338118553161621094e+00,2.115777254104614258e+00
9.696808510638298628e+01,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.541861724853515625e+01,9.550478935241699219e+00,9.118549823760986328e-01,5.570101547241210938e+01,8.336885452270507812e+00,2.118414402008056641e+00
9.595744680851063890e+01,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.477322006225585938e+01,9.551685333251953125e+00,9.060707092285156250e-01,5.531526184082031250e+01,8.347992897033691406e+00,2.121639490127563477e+00
9.494680851063830573e+01,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.457736206054687500e+01,9.569379806518554688e+00,9.048652052879333496e-01,5.510002136230468750e+01,8.353192329406738281e+00,2.123686790466308594e+00
9.393617021276595835e+01,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.438946533203125000e+01,9.548566818237304688e+00,9.043892621994018555e-01,5.470122528076171875e+01,8.332538604736328125e+00,2.128913879394531250e+00
9.292553191489362518e+01,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.398716735839843750e+01,9.579954147338867188e+00,9.018153548240661621e-01,5.390534973144531250e+01,8.316289901733398438e+00,2.139139890670776367e+00
9.191489361702127781e+01,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.337846374511718750e+01,9.616700172424316406e+00,8.985339403152465820e-01,5.286691284179687500e+01,8.308114051818847656e+00,2.150645971298217773e+00
9.090425531914894464e+01,7.369871520996093750e+01,5.418733596801757812e+00,1.120591282844543457e+00,7.360662078857421875e+01,5.450257778167724609e+00,1.116801857948303223e+00,5.319042968750000000e+01,9.614179611206054688e+00,8.998197913169860840e-01,5.248649597167968750e+01,8.280412673950195312e+00,2.157246589660644531e+00
