5.000000000000000000e+00,6.000000000000000000e+00,1.200000000000000000e+01
7.040816326530611846e+00,8.000000000000000000e+00,1.800000000000000000e+01
9.081632653061223692e+00,9.000000000000000000e+00,2.500000000000000000e+01
1.112244897959183731e+01,1.300000000000000000e+01,3.300000000000000000e+01
1.316326530612244916e+01,1.900000000000000000e+01,4.400000000000000000e+01
1.520408163265306101e+01,2.200000000000000000e+01,4.600000000000000000e+01
1.724489795918367463e+01,2.600000000000000000e+01,5.200000000000000000e+01
1.928571428571428470e+01,3.300000000000000000e+01,5.700000000000000000e+01
2.132653061224489832e+01,3.600000000000000000e+01,6.900000000000000000e+01
2.336734693877551194e+01,3.900000000000000000e+01,7.700000000000000000e+01
2.540816326530612201e+01,4.100000000000000000e+01,8.200000000000000000e+01
2.744897959183673564e+01,4.300000000000000000e+01,8.600000000000000000e+01
2.948979591836734926e+01,4.400000000000000000e+01,9.000000000000000000e+01
3.153061224489795933e+01,4.800000000000000000e+01,9.600000000000000000e+01
3.357142857142856940e+01,4.900000000000000000e+01,1.070000000000000000e+02
3.561224489795918657e+01,5.300000000000000000e+01,1.120000000000000000e+02
3.765306122448979664e+01,5.500000000000000000e+01,1.190000000000000000e+02
3.969387755102040671e+01,5.600000000000000000e+01,1.220000000000000000e+02
4.173469387755102389e+01,5.700000000000000000e+01,1.260000000000000000e+02
4.377551020408163396e+01,5.900000000000000000e+01,1.300000000000000000e+02
4.581632653061224403e+01,6.200000000000000000e+01,1.310000000000000000e+02
4.785714285714286120e+01,6.200000000000000000e+01,1.350000000000000000e+02
4.989795918367347127e+01,6.500000000000000000e+01,1.360000000000000000e+02
5.193877551020408134e+01,6.600000000000000000e+01,1.360000000000000000e+02
5.397959183673469852e+01,6.600000000000000000e+01,1.380000000000000000e+02
5.602040816326530859e+01,6.700000000000000000e+01,1.400000000000000000e+02
5.806122448979591866e+01,6.800000000000000000e+01,1.430000000000000000e+02
6.010204081632652873e+01,6.800000000000000000e+01,1.430000000000000000e+02
6.214285714285714590e+01,6.800000000000000000e+01,1.460000000000000000e+02
6.418367346938775597e+01,6.900000000000000000e+01,1.470000000000000000e+02
6.622448979591837315e+01,7.100000000000000000e+01,1.480000000000000000e+02
6.826530612244897611e+01,7.100000000000000000e+01,1.480000000000000000e+02
7.030612244897959329e+01,7.100000000000000000e+01,1.490000000000000000e+02
7.234693877551021046e+01,7.200000000000000000e+01,1.500000000000000000e+02
7.438775510204081343e+01,7.200000000000000000e+01,1.500000000000000000e+02
7.642857142857143060e+01,7.300000000000000000e+01,1.520000000000000000e+02
7.846938775510204778e+01,7.300000000000000000e+01,1.530000000000000000e+02
8.051020408163265074e+01,7.300000000000000000e+01,1.530000000000000000e+02
8.255102040816326792e+01,7.300000000000000000e+01,1.530000000000000000e+02
8.459183673469388509e+01,7.300000000000000000e+01,1.530000000000000000e+02
8.663265306122448806e+01,7.300000000000000000e+01,1.530000000000000000e+02
8.867346938775510523e+01,7.300000000000000000e+01,1.530000000000000000e+02
9.071428571428572241e+01,7.300000000000000000e+01,1.530000000000000000e+02
9.275510204081632537e+01,7.300000000000000000e+01,1.530000000000000000e+02
9.479591836734694255e+01,7.300000000000000000e+01,1.530000000000000000e+02
9.683673469387755972e+01,7.300000000000000000e+01,1.530000000000000000e+02
9.887755102040816269e+01,7.300000000000000000e+01,1.540000000000000000e+02
1.009183673469387799e+02,7.300000000000000000e+01,1.540000000000000000e+02
1.029591836734693970e+02,7.300000000000000000e+01,1.540000000000000000e+02
1.050000000000000000e+02,7.300000000000000000e+01,1.540000000000000000e+02
