5.000000000000000000e-01,1.000000000000000000e+00
5.588235294117647189e-01,1.000000000000000000e+00
6.176470588235294379e-01,1.000000000000000000e+00
6.764705882352941568e-01,1.000000000000000000e+00
7.352941176470588758e-01,1.000000000000000000e+00
7.941176470588235947e-01,1.000000000000000000e+00
8.529411764705882026e-01,1.000000000000000000e+00
9.117647058823529216e-01,1.000000000000000000e+00
9.705882352941176405e-01,1.000000000000000000e+00
1.029411764705882248e+00,1.000000000000000000e+00
1.088235294117647189e+00,1.000000000000000000e+00
1.147058823529411686e+00,1.000000000000000000e+00
1.205882352941176405e+00,1.000000000000000000e+00
1.264705882352941124e+00,1.000000000000000000e+00
1.323529411764705843e+00,1.000000000000000000e+00
1.382352941176470562e+00,1.000000000000000000e+00
1.441176470588235281e+00,1.000000000000000000e+00
1.500000000000000000e+00,1.000000000000000000e+00
